,score
13541,136
13542,631
13543,56
13544,599
13545,24
13546,809
13547,812
13548,34
13549,800
13550,550
13551,18
13552,516
13553,410
13554,312
13555,579
13556,843
13557,830
13558,300
13559,947
13560,758
13561,229
13562,189
13563,835
13564,5
13565,687
13566,767
13567,650
13568,732
13569,135
13570,271
13571,85
13572,935
13573,837
13574,940
13575,855
13576,865
13577,10
13578,947
13579,15
13580,352
13581,459
13582,978
13583,250
13584,100
13585,142
13586,638
13587,329
13588,549
13589,285
13590,626
13591,738
13592,481
13593,289
13594,664
13595,326
13596,259
13597,696
13598,241
13599,470
13600,265
13601,2
13602,673
13603,809
13604,987
13605,3
13606,136
13607,47
13608,254
13609,93
13610,970
13611,367
13612,73
13613,836
13614,734
13615,832
13616,507
13617,3
13618,890
13619,678
13620,450
13621,449
13622,745
13623,29
13624,657
13625,987
13626,144
13627,610
13628,715
13629,385
13630,411
13631,437
13632,995
13633,551
13634,418
13635,981
13636,820
13637,425
13638,352
13639,20
13640,805
13641,728
13642,451
13643,646
13644,923
13645,502
13646,922
13647,29
13648,296
13649,339
13650,623
13651,660
13652,349
13653,455
13654,831
13655,927
13656,924
13657,313
13658,319
13659,498
13660,87
13661,89
13662,664
13663,329
13664,447
13665,916
13666,568
13667,812
13668,852
13669,970
13670,691
13671,396
13672,860
13673,777
13674,992
13675,13
13676,973
13677,706
13678,404
13679,40
13680,236
13681,974
13682,207
13683,702
13684,757
13685,199
13686,770
13687,469
13688,998
13689,469
13690,196
13691,61
13692,208
13693,649
13694,984
13695,765
13696,485
13697,876
13698,895
13699,397
13700,735
13701,861
13702,530
13703,755
13704,254
13705,246
13706,756
13707,267
13708,812
13709,585
13710,511
13711,293
13712,647
13713,329
13714,172
13715,254
13716,477
13717,2
13718,26
13719,306
13720,493
13721,376
13722,110
13723,34
13724,885
13725,476
13726,178
13727,470
13728,885
13729,47
13730,729
13731,538
13732,890
13733,435
13734,22
13735,510
13736,643
13737,110
13738,409
13739,23
13740,138
13741,324
13742,674
13743,81
13744,874
13745,952
13746,283
13747,211
13748,724
13749,578
13750,555
13751,807
13752,706
13753,951
13754,904
13755,792
13756,711
13757,80
13758,884
13759,562
13760,961
13761,439
13762,714
13763,50
13764,330
13765,343
13766,604
13767,666
13768,950
13769,640
13770,451
13771,224
13772,685
13773,66
13774,628
13775,268
13776,910
13777,282
13778,804
13779,125
13780,645
13781,90
13782,216
13783,249
13784,422
13785,764
13786,211
13787,270
13788,428
13789,141
13790,431
13791,957
13792,552
13793,519
13794,946
13795,328
13796,32
13797,521
13798,514
13799,939
13800,989
13801,629
13802,516
13803,58
13804,520
13805,638
13806,916
13807,187
13808,985
13809,519
13810,896
13811,184
13812,914
13813,11
13814,537
13815,44
13816,7
13817,230
13818,147
13819,81
13820,728
13821,609
13822,265
13823,871
13824,238
13825,732
13826,623
13827,792
13828,930
13829,148
13830,645
13831,392
13832,169
13833,248
13834,817
13835,330
13836,911
13837,639
13838,820
13839,260
13840,921
13841,581
13842,953
13843,172
13844,584
13845,459
13846,495
13847,464
13848,106
13849,65
13850,158
13851,475
13852,412
13853,525
13854,253
13855,812
13856,927
13857,641
13858,89
13859,749
13860,144
13861,773
13862,683
13863,293
13864,580
13865,35
13866,948
13867,970
13868,240
13869,869
13870,389
13871,13
13872,873
13873,671
13874,122
13875,965
13876,995
13877,774
13878,502
13879,23
13880,928
13881,938
13882,648
13883,412
13884,895
13885,481
13886,556
13887,638
13888,968
13889,134
13890,87
13891,724
13892,147
13893,556
13894,300
13895,439
13896,149
13897,830
13898,498
13899,997
13900,940
13901,207
13902,939
13903,860
13904,45
13905,925
13906,787
13907,648
13908,990
13909,418
13910,857
13911,874
13912,988
13913,584
13914,97
13915,685
13916,155
13917,446
13918,615
13919,492
13920,152
13921,284
13922,382
13923,405
13924,866
13925,304
13926,39
13927,579
13928,88
13929,371
13930,861
13931,140
13932,272
13933,872
13934,612
13935,25
13936,381
13937,522
13938,965
13939,840
13940,608
13941,7
13942,883
13943,900
13944,162
13945,811
13946,640
13947,173
13948,751
13949,873
13950,538
13951,818
13952,274
13953,805
13954,314
13955,999
13956,714
13957,543
13958,897
13959,672
13960,285
13961,946
13962,265
13963,488
13964,262
13965,800
13966,978
13967,496
13968,516
13969,707
13970,263
13971,70
13972,154
13973,263
13974,599
13975,15
13976,436
13977,24
13978,689
13979,42
13980,908
13981,533
13982,313
13983,81
13984,981
13985,712
13986,698
13987,758
13988,282
13989,735
13990,539
13991,960
13992,102
13993,190
13994,939
13995,896
13996,997
13997,124
13998,48
13999,987
14000,985
14001,852
14002,994
14003,196
14004,463
14005,424
14006,959
14007,583
14008,617
14009,235
14010,727
14011,897
14012,286
14013,197
14014,871
14015,665
14016,10
14017,856
14018,13
14019,555
14020,777
14021,794
14022,603
14023,69
14024,126
14025,703
14026,489
14027,126
14028,996
14029,784
14030,329
14031,629
14032,971
14033,78
14034,407
14035,869
14036,119
14037,112
14038,173
14039,309
14040,13
14041,647
14042,366
14043,741
14044,741
14045,775
14046,541
14047,48
14048,618
14049,245
14050,192
14051,562
14052,240
14053,971
14054,127
14055,975
14056,451
14057,421
14058,134
14059,51
14060,931
14061,924
14062,286
14063,153
14064,745
14065,291
14066,701
14067,93
14068,561
14069,240
14070,906
14071,184
14072,520
14073,293
14074,375
14075,316
14076,504
14077,470
14078,744
14079,981
14080,210
14081,19
14082,341
14083,353
14084,753
14085,679
14086,6
14087,627
14088,901
14089,768
14090,896
14091,357
14092,136
14093,843
14094,351
14095,707
14096,347
14097,403
14098,650
14099,513
14100,837
14101,225
14102,170
14103,636
14104,858
14105,828
14106,990
14107,26
14108,281
14109,331
14110,511
14111,167
14112,969
14113,384
14114,868
14115,797
14116,12
14117,30
14118,284
14119,893
14120,611
14121,136
14122,529
14123,393
14124,381
14125,685
14126,271
14127,918
14128,738
14129,436
14130,431
14131,233
14132,242
14133,753
14134,655
14135,91
14136,855
14137,739
14138,819
14139,408
14140,510
14141,584
14142,375
14143,854
14144,609
14145,118
14146,797
14147,976
14148,882
14149,516
14150,976
14151,866
14152,322
14153,455
14154,222
14155,910
14156,560
14157,469
14158,270
14159,946
14160,817
14161,953
14162,691
14163,818
14164,943
14165,967
14166,395
14167,915
14168,341
14169,763
14170,444
14171,823
14172,70
14173,403
14174,466
14175,275
14176,525
14177,632
14178,735
14179,144
14180,386
14181,128
14182,557
14183,919
14184,65
14185,427
14186,449
14187,66
14188,632
14189,177
14190,449
14191,868
14192,118
14193,782
14194,819
14195,398
14196,37
14197,730
14198,24
14199,683
14200,584
14201,667
14202,432
14203,246
14204,388
14205,199
14206,947
14207,701
14208,913
14209,977
14210,73
14211,58
14212,138
14213,364
14214,945
14215,189
14216,772
14217,348
14218,933
14219,193
14220,245
14221,325
14222,163
14223,58
14224,967
14225,4
14226,964
14227,950
14228,263
14229,684
14230,504
14231,171
14232,823
14233,546
14234,317
14235,51
14236,312
14237,643
14238,886
14239,868
14240,747
14241,314
14242,396
14243,151
14244,248
14245,470
14246,410
14247,791
14248,989
14249,365
14250,670
14251,130
14252,779
14253,751
14254,193
14255,140
14256,631
14257,870
14258,620
14259,905
14260,153
14261,865
14262,439
14263,292
14264,336
14265,8
14266,484
14267,443
14268,50
14269,659
14270,40
14271,297
14272,416
14273,812
14274,19
14275,912
14276,525
14277,763
14278,797
14279,842
14280,373
14281,534
14282,448
14283,964
14284,203
14285,958
14286,596
14287,697
14288,526
14289,590
14290,478
14291,213
14292,155
14293,755
14294,445
14295,678
14296,450
14297,505
14298,9
14299,78
14300,605
14301,85
14302,645
14303,638
14304,4
14305,350
14306,442
14307,599
14308,617
14309,575
14310,504
14311,784
14312,421
14313,679
14314,434
14315,817
14316,399
14317,918
14318,959
14319,401
14320,740
14321,326
14322,65
14323,846
14324,499
14325,852
14326,197
14327,501
14328,351
14329,89
14330,985
14331,889
14332,273
14333,401
14334,461
14335,44
14336,486
14337,362
14338,767
14339,802
14340,859
14341,825
14342,997
14343,144
14344,374
14345,872
14346,332
14347,546
14348,812
14349,290
14350,622
14351,980
14352,744
14353,911
14354,141
14355,58
14356,831
14357,257
14358,617
14359,505
14360,886
14361,26
14362,709
14363,608
14364,440
14365,491
14366,475
14367,254
14368,750
14369,242
14370,919
14371,900
14372,327
14373,463
14374,116
14375,484
14376,76
14377,523
14378,953
14379,103
14380,927
14381,347
14382,133
14383,29
14384,176
14385,709
14386,759
14387,818
14388,530
14389,77
14390,859
14391,717
14392,154
14393,435
14394,939
14395,631
14396,141
14397,188
14398,310
14399,674
14400,327
14401,158
14402,521
14403,871
14404,244
14405,160
14406,574
14407,688
14408,260
14409,715
14410,910
14411,41
14412,70
14413,856
14414,763
14415,815
14416,616
14417,354
14418,640
14419,102
14420,313
14421,834
14422,672
14423,525
14424,162
14425,878
14426,873
14427,529
14428,152
14429,247
14430,237
14431,770
14432,975
14433,182
14434,216
14435,556
14436,231
14437,864
14438,865
14439,975
14440,168
14441,72
14442,21
14443,677
14444,823
14445,661
14446,693
14447,458
14448,140
14449,91
14450,612
14451,710
14452,265
14453,707
14454,974
14455,849
14456,633
14457,511
14458,315
14459,907
14460,192
14461,990
14462,656
14463,988
14464,264
14465,442
14466,237
14467,794
14468,60
14469,579
14470,501
14471,108
14472,834
14473,868
14474,706
14475,472
14476,625
14477,315
14478,234
14479,183
14480,71
14481,621
14482,264
14483,167
14484,394
14485,361
14486,887
14487,276
14488,250
14489,69
14490,535
14491,470
14492,501
14493,127
14494,904
14495,38
14496,638
14497,698
14498,314
14499,623
14500,562
14501,799
14502,467
14503,600
14504,395
14505,1
14506,500
14507,640
14508,722
14509,792
14510,115
14511,77
14512,150
14513,38
14514,927
14515,438
14516,909
14517,834
14518,676
14519,613
14520,831
14521,982
14522,620
14523,863
14524,75
14525,712
14526,42
14527,200
14528,880
14529,218
14530,957
14531,701
14532,320
14533,957
14534,825
14535,773
14536,189
14537,30
14538,339
14539,422
14540,119
14541,168
14542,701
14543,162
14544,156
14545,689
14546,915
14547,805
14548,583
14549,866
14550,165
14551,244
14552,737
14553,726
14554,699
14555,745
14556,470
14557,717
14558,137
14559,923
14560,459
14561,771
14562,931
14563,204
14564,528
14565,70
14566,603
14567,103
14568,355
14569,715
14570,603
14571,399
14572,790
14573,131
14574,307
14575,304
14576,648
14577,772
14578,700
14579,652
14580,460
14581,137
14582,557
14583,858
14584,484
14585,474
14586,373
14587,897
14588,439
14589,967
14590,738
14591,873
14592,603
14593,844
14594,952
14595,647
14596,640
14597,214
14598,856
14599,586
14600,811
14601,731
14602,924
14603,245
14604,257
14605,190
14606,715
14607,92
14608,444
14609,778
14610,569
14611,190
14612,855
14613,813
14614,620
14615,275
14616,165
14617,135
14618,540
14619,452
14620,516
14621,333
14622,795
14623,231
14624,843
14625,25
14626,998
14627,744
14628,952
14629,93
14630,854
14631,596
14632,139
14633,732
14634,310
14635,325
14636,303
14637,198
14638,687
14639,160
14640,93
14641,517
14642,445
14643,236
14644,900
14645,173
14646,396
14647,81
14648,289
14649,595
14650,694
14651,413
14652,932
14653,36
14654,847
14655,432
14656,913
14657,749
14658,155
14659,937
14660,644
14661,820
14662,120
14663,682
14664,781
14665,893
14666,724
14667,104
14668,685
14669,234
14670,40
14671,492
14672,35
14673,222
14674,894
14675,494
14676,50
14677,993
14678,195
14679,107
14680,74
14681,608
14682,674
14683,472
14684,549
14685,396
14686,530
14687,632
14688,350
14689,223
14690,486
14691,849
14692,351
14693,824
14694,952
14695,395
14696,959
14697,547
14698,979
14699,82
14700,935
14701,161
14702,396
14703,672
14704,498
14705,708
14706,755
14707,5
14708,254
14709,518
14710,928
14711,551
14712,379
14713,264
14714,617
14715,579
14716,349
14717,68
14718,766
14719,420
14720,6
14721,572
14722,205
14723,408
14724,507
14725,73
14726,538
14727,667
14728,276
14729,423
14730,801
14731,243
14732,779
14733,343
14734,474
14735,31
14736,713
14737,901
14738,227
14739,327
14740,430
14741,683
14742,641
14743,523
14744,102
14745,949
14746,897
14747,722
14748,701
14749,378
14750,568
14751,276
14752,291
14753,569
14754,738
14755,702
14756,267
14757,662
14758,471
14759,465
14760,802
14761,654
14762,826
14763,194
14764,107
14765,209
14766,304
14767,401
14768,209
14769,29
14770,605
14771,756
14772,311
14773,670
14774,248
14775,550
14776,781
14777,691
14778,222
14779,64
14780,790
14781,874
14782,220
14783,542
14784,994
14785,410
14786,291
14787,721
14788,987
14789,220
14790,426
14791,665
14792,476
14793,357
14794,883
14795,723
14796,36
14797,319
14798,981
14799,468
14800,167
14801,956
14802,448
14803,308
14804,306
14805,126
14806,537
14807,318
14808,385
14809,432
14810,859
14811,207
14812,301
14813,609
14814,206
14815,202
14816,260
14817,643
14818,895
14819,17
14820,501
14821,722
14822,722
14823,254
14824,125
14825,916
14826,826
14827,911
14828,828
14829,317
14830,620
14831,152
14832,869
14833,353
14834,579
14835,962
14836,872
14837,517
14838,144
14839,845
14840,764
14841,289
14842,821
14843,248
14844,982
14845,168
14846,248
14847,72
14848,304
14849,556
14850,672
14851,121
14852,976
14853,883
14854,649
14855,285
14856,560
14857,443
14858,590
14859,276
14860,76
14861,404
14862,7
14863,899
14864,565
14865,81
14866,329
14867,628
14868,438
14869,492
14870,5
14871,552
14872,392
14873,746
14874,664
14875,320
14876,738
14877,328
14878,754
14879,637
14880,861
14881,15
14882,522
14883,801
14884,781
14885,756
14886,19
14887,786
14888,225
14889,498
14890,705
14891,297
14892,811
14893,468
14894,679
14895,625
14896,325
14897,659
14898,344
14899,545
14900,511
14901,830
14902,207
14903,129
14904,577
14905,527
14906,373
14907,546
14908,525
14909,924
14910,133
14911,955
14912,334
14913,753
14914,167
14915,863
14916,642
14917,33
14918,768
14919,183
14920,842
14921,590
14922,260
14923,382
14924,429
14925,985
14926,276
14927,731
14928,781
14929,819
14930,44
14931,282
14932,921
14933,238
14934,579
14935,308
14936,299
14937,580
14938,294
14939,733
14940,711
14941,370
14942,420
14943,851
14944,837
14945,383
14946,129
14947,217
14948,971
14949,239
14950,704
14951,72
14952,536
14953,134
14954,731
14955,350
14956,23
14957,382
14958,740
14959,857
14960,533
14961,85
14962,688
14963,206
14964,434
14965,719
14966,311
14967,31
14968,155
14969,744
14970,914
14971,308
14972,985
14973,416
14974,76
14975,897
14976,589
14977,760
14978,931
14979,815
14980,879
14981,319
14982,970
14983,464
14984,8
14985,782
14986,23
14987,352
14988,544
14989,279
14990,995
14991,74
14992,219
14993,299
14994,715
14995,775
14996,133
14997,477
14998,392
14999,894
15000,434
15001,348
15002,993
15003,786
15004,464
15005,75
15006,127
15007,603
15008,962
15009,126
15010,197
15011,933
15012,852
15013,844
15014,919
15015,851
15016,156
15017,357
15018,0
15019,175
15020,924
15021,165
15022,638
15023,556
15024,642
15025,396
15026,665
15027,728
15028,67
15029,241
15030,902
15031,473
15032,788
15033,54
15034,77
15035,477
15036,697
15037,961
15038,185
15039,269
15040,268
15041,585
15042,759
15043,212
15044,28
15045,796
15046,100
15047,190
15048,797
15049,28
15050,283
15051,589
15052,280
15053,120
15054,649
15055,582
15056,503
15057,316
15058,692
15059,841
15060,26
15061,671
15062,584
15063,963
15064,922
15065,383
15066,901
15067,740
15068,811
15069,944
15070,112
15071,185
15072,169
15073,439
15074,251
15075,108
15076,462
15077,339
15078,303
15079,708
15080,392
15081,573
15082,685
15083,730
15084,319
15085,798
15086,429
15087,762
15088,380
15089,860
15090,947
15091,745
15092,846
15093,477
15094,495
15095,985
15096,729
15097,424
15098,625
15099,845
15100,508
15101,964
15102,237
15103,769
15104,270
15105,529
15106,572
15107,391
15108,283
15109,626
15110,55
15111,488
15112,906
15113,692
15114,371
15115,382
15116,144
15117,459
15118,953
15119,420
15120,136
15121,235
15122,133
15123,689
15124,488
15125,951
15126,129
15127,762
15128,275
15129,256
15130,652
15131,617
15132,101
15133,467
15134,648
15135,355
15136,623
15137,230
15138,190
15139,176
15140,755
15141,781
15142,425
15143,452
15144,456
15145,11
15146,507
15147,630
15148,5
15149,635
15150,946
15151,292
15152,107
15153,374
15154,406
15155,999
15156,675
15157,316
15158,731
15159,808
15160,720
15161,647
15162,498
15163,360
15164,319
15165,748
15166,687
15167,405
15168,939
15169,219
15170,642
15171,540
15172,557
15173,522
15174,338
15175,966
15176,741
15177,709
15178,365
15179,400
15180,448
15181,483
15182,304
15183,338
15184,455
15185,517
15186,486
15187,553
15188,835
15189,96
15190,381
15191,768
15192,370
15193,357
15194,357
15195,467
15196,873
15197,856
15198,906
15199,639
15200,730
15201,47
15202,476
15203,555
15204,204
15205,607
15206,508
15207,832
15208,319
15209,357
15210,943
15211,552
15212,705
15213,923
15214,560
15215,670
15216,974
15217,793
15218,662
15219,475
15220,959
15221,756
15222,567
15223,902
15224,643
15225,788
15226,434
15227,263
15228,611
15229,98
15230,919
15231,92
15232,843
15233,766
15234,534
15235,449
15236,192
15237,887
15238,558
15239,144
15240,430
15241,582
15242,838
15243,652
15244,6
15245,831
15246,168
15247,676
15248,65
15249,357
15250,98
15251,493
15252,964
15253,16
15254,861
15255,270
15256,600
15257,83
15258,667
15259,593
15260,140
15261,715
15262,514
15263,228
15264,800
15265,598
15266,155
15267,469
15268,26
15269,626
15270,666
15271,647
15272,891
15273,333
15274,301
15275,832
15276,890
15277,223
15278,452
15279,9
15280,500
15281,161
15282,803
15283,351
15284,541
15285,352
15286,588
15287,637
15288,214
15289,594
15290,369
15291,844
15292,330
15293,97
15294,359
15295,55
15296,525
15297,722
15298,140
15299,493
15300,287
15301,769
15302,418
15303,823
15304,968
15305,813
15306,698
15307,275
15308,148
15309,106
15310,496
15311,487
15312,775
15313,141
15314,353
15315,647
15316,347
15317,89
15318,395
15319,724
15320,134
15321,586
15322,825
15323,529
15324,52
15325,788
15326,303
15327,498
15328,433
15329,784
15330,158
15331,887
15332,479
15333,477
15334,251
15335,631
15336,961
15337,911
15338,985
15339,579
15340,384
15341,386
15342,994
15343,137
15344,815
15345,955
15346,582
15347,690
15348,640
15349,816
15350,925
15351,603
15352,646
15353,789
15354,575
15355,804
15356,571
15357,958
15358,690
15359,483
15360,318
15361,929
15362,520
15363,554
15364,981
15365,321
15366,803
15367,3
15368,902
15369,342
15370,602
15371,378
15372,511
15373,847
15374,831
15375,95
15376,400
15377,667
15378,742
15379,601
15380,960
15381,384
15382,824
15383,687
15384,217
15385,253
15386,278
15387,284
15388,880
15389,514
15390,297
15391,696
15392,570
15393,803
15394,646
15395,227
15396,879
15397,497
15398,419
15399,299
15400,314
15401,404
15402,555
15403,669
15404,254
15405,48
15406,700
15407,666
15408,394
15409,707
15410,322
15411,116
15412,905
15413,66
15414,154
15415,50
15416,872
15417,546
15418,671
15419,42
15420,484
15421,966
15422,870
15423,579
15424,742
15425,746
15426,682
15427,388
15428,201
15429,13
15430,148
15431,966
15432,750
15433,363
15434,668
15435,317
15436,9
15437,302
15438,248
15439,158
15440,757
15441,906
15442,399
15443,945
15444,449
15445,299
15446,619
15447,506
15448,671
15449,113
15450,535
15451,950
15452,89
15453,551
15454,75
15455,434
15456,531
15457,938
15458,106
15459,562
15460,962
15461,946
15462,552
15463,610
15464,662
15465,123
15466,315
15467,799
15468,889
15469,839
15470,294
15471,532
15472,976
15473,140
15474,352
15475,683
15476,504
15477,47
15478,453
15479,573
15480,50
15481,315
15482,342
15483,481
15484,901
15485,192
15486,928
15487,778
15488,427
15489,357
15490,981
15491,408
15492,716
15493,267
15494,659
15495,570
15496,649
15497,287
15498,692
15499,51
15500,642
15501,972
15502,439
15503,525
15504,981
15505,57
15506,713
15507,918
15508,242
15509,632
15510,701
15511,342
15512,245
15513,877
15514,10
15515,518
15516,825
15517,780
15518,402
15519,510
15520,996
15521,102
15522,117
15523,320
15524,370
15525,917
15526,87
15527,496
15528,433
15529,736
15530,565
15531,419
15532,840
15533,307
15534,627
15535,337
15536,15
15537,832
15538,20
15539,772
15540,702
15541,52
15542,606
15543,60
15544,522
15545,69
15546,213
15547,604
15548,779
15549,729
15550,85
15551,922
15552,404
15553,863
15554,188
15555,462
15556,672
15557,941
15558,920
15559,774
15560,743
15561,5
15562,580
15563,434
15564,518
15565,646
15566,319
15567,190
15568,721
15569,448
15570,156
15571,604
15572,905
15573,8
15574,519
15575,975
15576,553
15577,733
15578,981
15579,388
15580,18
15581,772
15582,840
15583,631
15584,120
15585,239
15586,825
15587,572
15588,995
15589,321
15590,671
15591,626
15592,437
15593,829
15594,705
15595,765
15596,213
15597,665
15598,188
15599,848
15600,999
15601,197
15602,342
15603,636
15604,839
15605,943
15606,283
15607,732
15608,994
15609,725
15610,479
15611,617
15612,814
15613,368
15614,180
15615,521
15616,336
15617,11
15618,26
15619,398
15620,395
15621,165
15622,257
15623,115
15624,438
15625,444
15626,954
15627,548
15628,810
15629,543
15630,638
15631,804
15632,148
15633,550
15634,913
15635,8
15636,610
15637,134
15638,268
15639,525
15640,795
15641,925
15642,627
15643,312
15644,935
15645,988
15646,568
15647,174
15648,789
15649,716
15650,355
15651,523
15652,687
15653,802
15654,240
15655,247
15656,1
15657,342
15658,410
15659,447
15660,91
15661,321
15662,992
15663,913
15664,868
15665,591
15666,100
15667,847
15668,115
15669,218
15670,113
15671,711
15672,375
15673,687
15674,517
15675,452
15676,616
15677,971
15678,214
15679,616
15680,293
15681,570
15682,574
15683,308
15684,727
15685,124
15686,301
15687,480
15688,592
15689,253
15690,650
15691,964
15692,419
15693,577
15694,124
15695,649
15696,48
15697,91
15698,195
15699,164
15700,248
15701,978
15702,897
15703,828
15704,836
15705,312
15706,464
15707,85
15708,739
15709,642
15710,25
15711,980
15712,498
15713,283
15714,491
15715,714
15716,662
15717,175
15718,832
15719,18
15720,172
15721,833
15722,612
15723,689
15724,430
15725,920
15726,640
15727,481
15728,845
15729,698
15730,451
15731,764
15732,510
15733,132
15734,344
15735,663
15736,702
15737,580
15738,557
15739,994
15740,758
15741,955
15742,477
15743,377
15744,704
15745,971
15746,576
15747,990
15748,147
15749,462
15750,682
15751,503
15752,94
15753,818
15754,346
15755,540
15756,566
15757,503
15758,286
15759,352
15760,855
15761,696
15762,217
15763,757
15764,953
15765,709
15766,592
15767,120
15768,815
15769,665
15770,228
15771,978
15772,346
15773,132
15774,431
15775,595
15776,597
15777,290
15778,408
15779,730
15780,122
15781,554
15782,14
15783,607
15784,209
15785,263
15786,415
15787,751
15788,440
15789,619
15790,279
15791,31
15792,866
15793,442
15794,798
15795,276
15796,692
15797,773
15798,699
15799,462
15800,905
15801,176
15802,156
15803,802
15804,107
15805,744
15806,611
15807,727
15808,348
15809,349
15810,741
15811,834
15812,481
15813,522
15814,364
15815,422
15816,979
15817,951
15818,921
15819,844
15820,150
15821,797
15822,399
15823,604
15824,192
15825,91
15826,743
15827,701
15828,469
15829,717
15830,151
15831,938
15832,94
15833,292
15834,978
15835,454
15836,645
15837,686
15838,57
15839,697
15840,780
15841,894
15842,275
15843,405
15844,429
15845,531
15846,146
15847,239
15848,295
15849,200
15850,945
15851,112
15852,97
15853,690
15854,525
15855,528
15856,170
15857,234
15858,61
15859,553
15860,526
15861,170
15862,13
15863,607
15864,561
15865,927
15866,938
15867,889
15868,338
15869,729
15870,897
15871,921
15872,783
15873,115
15874,562
15875,274
15876,57
15877,953
15878,611
15879,444
15880,944
15881,709
15882,231
15883,2
15884,876
15885,358
15886,411
15887,690
15888,875
15889,698
15890,691
15891,717
15892,492
15893,212
15894,23
15895,780
15896,802
15897,154
15898,317
15899,144
15900,86
15901,601
15902,954
15903,598
15904,544
15905,451
15906,596
15907,534
15908,305
15909,928
15910,649
15911,735
15912,471
15913,205
15914,660
15915,856
15916,948
15917,146
15918,141
15919,168
15920,44
15921,911
15922,999
15923,877
15924,900
15925,594
15926,570
15927,148
15928,211
15929,278
15930,778
15931,918
15932,827
15933,481
15934,237
15935,611
15936,347
15937,980
15938,259
15939,542
15940,448
15941,127
15942,235
15943,183
15944,188
15945,5
15946,91
15947,652
15948,181
15949,623
15950,517
15951,803
15952,710
15953,354
15954,181
15955,609
15956,469
15957,547
15958,145
15959,875
15960,356
15961,745
15962,335
15963,186
15964,63
15965,193
15966,511
15967,60
15968,757
15969,314
15970,248
15971,577
15972,52
15973,174
15974,140
15975,678
15976,656
15977,939
15978,833
15979,456
15980,576
15981,957
15982,612
15983,725
15984,390
15985,852
15986,352
15987,767
15988,585
15989,36
15990,813
15991,770
15992,705
15993,805
15994,396
15995,385
15996,752
15997,919
15998,360
15999,692
16000,373
16001,514
16002,820
16003,795
16004,813
16005,419
16006,587
16007,107
16008,605
16009,353
16010,435
16011,813
16012,563
16013,904
16014,188
16015,846
16016,972
16017,371
16018,723
16019,344
16020,25
16021,346
16022,901
16023,848
16024,535
16025,62
16026,211
16027,798
16028,149
16029,568
16030,605
16031,877
16032,638
16033,165
16034,82
16035,524
16036,149
16037,597
16038,795
16039,794
16040,781
16041,951
16042,346
16043,350
16044,846
16045,234
16046,642
16047,454
16048,939
16049,307
16050,508
16051,526
16052,73
16053,386
16054,536
16055,547
16056,153
16057,16
16058,951
16059,165
16060,137
16061,499
16062,831
16063,510
16064,848
16065,641
16066,867
16067,795
16068,185
16069,456
16070,883
16071,510
16072,475
16073,291
16074,526
16075,505
16076,526
16077,763
16078,626
16079,278
16080,762
16081,16
16082,526
16083,410
16084,983
16085,259
16086,108
16087,43
16088,301
16089,164
16090,377
16091,875
16092,882
16093,695
16094,384
16095,885
16096,886
16097,198
16098,232
16099,644
16100,368
16101,711
16102,481
16103,207
16104,780
16105,225
16106,633
16107,112
16108,25
16109,270
16110,72
16111,331
16112,62
16113,749
16114,885
16115,139
16116,514
16117,392
16118,639
16119,971
16120,516
16121,657
16122,607
16123,155
16124,767
16125,838
16126,405
16127,168
16128,122
16129,105
16130,10
16131,165
16132,311
16133,353
16134,664
16135,908
16136,867
16137,259
16138,818
16139,384
16140,78
16141,119
16142,347
16143,219
16144,869
16145,37
16146,438
16147,673
16148,785
16149,920
16150,572
16151,463
16152,668
16153,781
16154,775
16155,186
16156,50
16157,483
16158,569
16159,999
16160,616
16161,274
16162,389
16163,917
16164,135
16165,209
16166,63
16167,107
16168,366
16169,524
16170,137
16171,98
16172,29
16173,531
16174,882
16175,551
16176,243
16177,256
16178,671
16179,157
16180,241
16181,588
16182,745
16183,394
16184,652
16185,651
16186,25
16187,686
16188,713
16189,634
16190,402
16191,363
16192,182
16193,556
16194,230
16195,540
16196,132
16197,139
16198,781
16199,269
16200,878
16201,339
16202,585
16203,791
16204,153
16205,315
16206,687
16207,66
16208,250
16209,9
16210,422
16211,480
16212,242
16213,525
16214,326
16215,554
16216,100
16217,436
16218,25
16219,148
16220,309
16221,211
16222,139
16223,364
16224,427
16225,443
16226,949
16227,795
16228,405
16229,576
16230,689
16231,176
16232,814
16233,150
16234,757
16235,644
16236,736
16237,670
16238,218
16239,501
16240,927
16241,917
16242,735
16243,149
16244,304
16245,4
16246,483
16247,213
16248,671
16249,443
16250,46
16251,519
16252,845
16253,151
16254,384
16255,329
16256,49
16257,575
16258,184
16259,654
16260,154
16261,338
16262,196
16263,899
16264,867
16265,1
16266,231
16267,97
16268,12
16269,143
16270,256
16271,620
16272,540
16273,704
16274,516
16275,117
16276,845
16277,423
16278,322
16279,155
16280,822
16281,973
16282,476
16283,29
16284,60
16285,910
16286,82
16287,13
16288,893
16289,362
16290,370
16291,862
16292,911
16293,537
16294,453
16295,146
16296,236
16297,346
16298,533
16299,212
16300,24
16301,224
16302,530
16303,522
16304,767
16305,827
16306,757
16307,415
16308,416
16309,250
16310,958
16311,456
16312,810
16313,207
16314,398
16315,916
16316,742
16317,869
16318,523
16319,863
16320,325
16321,620
16322,693
16323,629
16324,853
16325,962
16326,614
16327,753
16328,819
16329,4
16330,909
16331,421
16332,108
16333,266
16334,455
16335,890
16336,72
16337,227
16338,124
16339,467
